start_time,end_time,short_ma,long_ma,timeframe,stop_loss,moving_average,total_trades,winning_trades,losing_trades,net_profit,winning_strike,avg_profit,avg_loss,total_brokerage,max_dd_percentage,max_winning_streak,max_losing_streak,days_in_dd,max_drawdown,cagr,exposure,fund_required,tradebook_name
11:40,14:45,9,24,8,20,sma,142,60,82,228850.0,0.73,5346.3,-3734.68,6678.16,3.353,4,4,69,83825.0,8.886873600000001,83.25146938843471,750737.5,./strategy/moving_average/moving_average_NIFTY_1140_1445_9_24_8_20_smatradebook.csv
11:45,14:45,5,12,11,20,ema,123,43,80,112300.0,0.54,5662.6,-4749.59,6464.24,6.444,4,9,74,161100.0,4.233430399999993,72.11677147637454,866650.0,./strategy/moving_average/moving_average_NIFTY_1145_1445_5_12_11_20_ematradebook.csv
10:50,15:00,11,26,10,20,sma,163,64,99,55900.0,0.65,5408.28,-5065.34,6439.05,5.979,4,6,77,149475.0,1.978438000000016,73.59759777440864,849212.5,./strategy/moving_average/moving_average_NIFTY_1050_1500_11_26_10_20_smatradebook.csv
10:10,15:00,7,18,5,20,ema,232,71,161,52825.0,0.44,4257.33,-4029.63,6676.66,8.892,5,10,83,222300.0,1.8459336000000048,65.20945276227242,958450.0,./strategy/moving_average/moving_average_NIFTY_1010_1500_7_18_5_20_ematradebook.csv
10:35,15:00,29,44,2,20,ema,252,75,177,-75475.0,0.42,3523.91,-3823.41,6652.26,11.733,5,14,83,293325.0,-3.2850903999999903,58.68613481378889,1064987.5,./strategy/moving_average/moving_average_NIFTY_1035_1500_29_44_2_20_ematradebook.csv
10:35,14:30,17,32,21,20,sma,110,49,61,101850.0,0.8,6015.91,-5090.0,6656.51,5.283,6,5,57,132075.0,3.807739600000004,75.93129736214674,823112.5,./strategy/moving_average/moving_average_NIFTY_1035_1430_17_32_21_20_smatradebook.csv
09:45,14:45,7,18,1,20,sma,1024,384,640,-3150.0,0.6,1840.38,-1843.46,6618.18,7.275,4,6,86,181875.0,-0.3907272000000072,69.61364427427776,897812.5,./strategy/moving_average/moving_average_NIFTY_0945_1445_7_18_1_20_smatradebook.csv
11:25,14:45,9,26,10,20,ema,113,44,69,165950.0,0.64,6246.68,-4778.1,6583.29,5.207,5,4,59,130175.0,6.374668400000005,76.19512046448546,820262.5,./strategy/moving_average/moving_average_NIFTY_1125_1445_9_26_10_20_ematradebook.csv
09:55,14:45,21,36,7,20,sma,204,74,130,-28250.0,0.57,4760.91,-4899.39,6546.17,9.497,5,7,74,237425.0,-1.3918467999999962,63.701570880737926,981137.5,./strategy/moving_average/moving_average_NIFTY_0955_1445_21_36_7_20_smatradebook.csv
10:15,14:45,17,30,17,20,sma,131,49,82,86150.0,0.6,6058.4,-5400.76,6846.22,3.767,5,5,58,94175.0,3.172151199999984,81.56473793249702,766262.5,./strategy/moving_average/moving_average_NIFTY_1015_1445_17_30_17_20_smatradebook.csv
11:05,14:30,13,30,4,20,sma,186,76,110,258375.0,0.69,4722.58,-3333.47,6342.12,4.274,4,5,68,106850.0,10.081315199999995,79.58995256438827,785275.0,./strategy/moving_average/moving_average_NIFTY_1105_1430_13_30_4_20_smatradebook.csv
10:20,14:45,21,34,9,20,ema,134,54,80,214175.0,0.68,6183.02,-4584.7,6589.96,5.438,5,3,57,135950.0,8.303401600000004,75.39885996923726,828925.0,./strategy/moving_average/moving_average_NIFTY_1020_1445_21_34_9_20_ematradebook.csv
10:00,14:45,9,24,30,20,ema,91,43,48,166675.0,0.9,7005.22,-5173.63,6669.45,5.076,6,3,50,126900.0,6.400221999999989,76.6541975838597,815350.0,./strategy/moving_average/moving_average_NIFTY_1000_1445_9_24_30_20_ematradebook.csv
10:15,15:00,11,16,23,20,sma,113,51,62,94625.0,0.82,6386.28,-5548.89,6350.16,5.966,6,6,65,149150.0,3.530993599999998,73.63987157206398,848725.0,./strategy/moving_average/moving_average_NIFTY_1015_1500_11_16_23_20_smatradebook.csv
