entry_time,exit_time,entry_price,exit_price,pnl,trades_per_day
2021-04-19 13:00:00,2021-04-19 13:30:00,14303.55,14331.15,27.6,3
2021-04-20 09:30:00,2021-04-20 09:55:00,14503.0,14466.9,-36.1,1
2021-04-20 10:00:00,2021-04-20 10:20:00,14464.2,14459.6,-4.6,2
2021-04-20 13:25:00,2021-04-20 13:30:00,14390.1,14370.95,-19.15,3
2021-04-22 10:15:00,2021-04-22 11:25:00,14229.95,14246.8,16.85,1
2021-04-22 11:45:00,2021-04-22 13:30:00,14309.45,14319.95,10.5,2
2021-04-23 10:25:00,2021-04-23 12:10:00,14398.25,14427.5,29.25,1
2021-04-23 13:20:00,2021-04-23 13:30:00,14404.2,14412.35,8.15,2
2021-04-26 09:30:00,2021-04-26 10:45:00,14508.3,14513.55,5.25,1
2021-04-26 11:35:00,2021-04-26 11:55:00,14512.05,14516.5,4.45,2
2021-04-26 13:20:00,2021-04-26 13:30:00,14489.95,14490.2,0.25,3
2021-04-28 09:30:00,2021-04-28 13:30:00,14743.1,14844.7,101.6,1
2021-04-29 09:30:00,2021-04-29 09:45:00,15016.75,15011.65,-5.1,1
2021-04-29 09:50:00,2021-04-29 09:55:00,14948.8,14920.9,-27.9,2
2021-04-29 10:00:00,2021-04-29 10:20:00,14912.95,14929.55,16.6,3
2021-04-29 11:45:00,2021-04-29 13:30:00,14893.55,14939.95,46.4,4
2021-04-30 10:15:00,2021-04-30 10:35:00,14801.65,14823.05,21.4,1
2021-04-30 11:05:00,2021-04-30 11:35:00,14814.8,14798.1,-16.7,2
2021-04-30 12:30:00,2021-04-30 13:15:00,14804.8,14782.2,-22.6,3
2021-05-03 10:20:00,2021-05-03 11:35:00,14523.5,14539.15,15.65,1
2021-05-03 12:10:00,2021-05-03 13:00:00,14569.45,14585.55,16.1,2
2021-05-03 13:10:00,2021-05-03 13:30:00,14577.8,14551.75,-26.05,3
2021-05-04 09:50:00,2021-05-04 10:10:00,14636.25,14660.4,24.15,1
2021-05-04 10:40:00,2021-05-04 12:30:00,14657.35,14697.15,39.8,2
2021-05-05 09:30:00,2021-05-05 10:35:00,14564.1,14574.1,10.0,1
2021-05-05 10:50:00,2021-05-05 11:30:00,14583.1,14567.3,-15.8,2
2021-05-05 12:10:00,2021-05-05 13:30:00,14574.1,14611.8,37.7,3
2021-05-06 09:30:00,2021-05-06 10:25:00,14651.3,14628.25,-23.05,1
2021-05-06 11:15:00,2021-05-06 11:45:00,14635.4,14649.4,14.0,2
2021-05-06 12:10:00,2021-05-06 13:30:00,14672.1,14700.9,28.8,3
2021-05-07 09:30:00,2021-05-07 10:25:00,14850.8,14837.15,-13.65,1
2021-05-07 11:40:00,2021-05-07 12:20:00,14835.3,14791.75,-43.55,2
2021-05-07 13:15:00,2021-05-07 13:30:00,14778.05,14792.2,14.15,3
2021-05-10 09:30:00,2021-05-10 10:25:00,14932.15,14926.45,-5.7,1
2021-05-10 10:40:00,2021-05-10 12:25:00,14937.05,14940.4,3.35,2
2021-05-10 12:45:00,2021-05-10 13:30:00,14961.5,14938.85,-22.65,3
2021-05-11 10:25:00,2021-05-11 10:55:00,14835.2,14836.75,1.55,1
2021-05-11 11:15:00,2021-05-11 12:55:00,14838.8,14859.4,20.6,2
2021-05-12 11:20:00,2021-05-12 11:35:00,14709.95,14724.6,14.65,1
2021-05-12 12:05:00,2021-05-12 13:30:00,14733.55,14764.75,31.2,2
2021-05-14 10:15:00,2021-05-14 10:55:00,14688.0,14693.8,5.8,1
2021-05-14 12:50:00,2021-05-14 13:30:00,14666.25,14684.25,18.0,2
2021-05-17 09:30:00,2021-05-17 13:30:00,14737.5,14855.3,117.8,1
2021-05-18 09:30:00,2021-05-18 10:00:00,15125.4,15087.7,-37.7,1
2021-05-18 10:05:00,2021-05-18 10:25:00,15090.5,15082.3,-8.2,2
2021-05-18 10:55:00,2021-05-18 12:05:00,15108.8,15126.1,17.3,3
2021-05-18 12:35:00,2021-05-18 12:45:00,15121.85,15120.0,-1.85,4
2021-05-18 13:30:00,2021-05-18 13:35:00,15134.7,15137.65,2.9499999999989086,5
2021-05-19 10:10:00,2021-05-19 10:35:00,15118.7,15084.05,-34.65,1
2021-05-19 12:05:00,2021-05-19 13:00:00,15109.65,15091.95,-17.7,2
2021-05-20 10:25:00,2021-05-20 10:50:00,15016.9,15005.65,-11.25,1
2021-05-20 11:30:00,2021-05-20 12:30:00,15002.95,14984.2,-18.75,2
2021-05-20 13:25:00,2021-05-20 13:30:00,14977.25,14968.65,-8.6,3
2021-05-21 09:30:00,2021-05-21 12:05:00,15035.45,15122.75,87.3,1
2021-05-21 12:15:00,2021-05-21 12:20:00,15128.85,15127.0,-1.85,2
2021-05-24 09:30:00,2021-05-24 09:55:00,15200.9,15201.5,0.6,1
2021-05-24 10:50:00,2021-05-24 11:55:00,15209.1,15206.6,-2.5,2
2021-05-24 13:25:00,2021-05-24 13:30:00,15221.4,15219.7,-1.7,3
2021-05-25 09:40:00,2021-05-25 10:25:00,15276.55,15274.05,-2.5,1
2021-05-25 10:40:00,2021-05-25 10:45:00,15273.4,15264.2,-9.2,2
2021-05-25 11:55:00,2021-05-25 12:35:00,15259.55,15268.05,8.5,3
2021-05-26 09:30:00,2021-05-26 11:50:00,15219.0,15275.85,56.85,1
2021-05-26 12:25:00,2021-05-26 13:15:00,15297.9,15295.45,-2.45,2
2021-05-27 10:20:00,2021-05-27 12:35:00,15312.7,15348.7,36.0,1
2021-05-27 13:20:00,2021-05-27 13:30:00,15345.3,15351.7,6.4,2
