,ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator
2106,BSEFO,1164406,2,SENSEX,SENSEX25SEP74000CE,IO,SENSEX-IO,12526901164406,12072.45,7548.8,1000,0.05,10,1,-1,SENSEX,2025-09-26T00:00:00,74000,3,SENSEX 26SEP2025 CE 74000,1
2107,BSEFO,1166461,2,SENSEX50,SENSEX5025JAN24400CE,IO,SENSEX50-IO,12503001166461,1507.15,244.1,1800,0.05,25,1,-1,SNSX50,2025-01-30T00:00:00,24400,3,SENSEX50 30JAN2025 CE 24400,1
2108,BSEFO,823047,2,SENSEX,SENSEX25FEB77500PE,IO,SENSEX-IO,12505900823047,2378.95,684.55,1000,0.05,20,1,-1,SENSEX,2025-02-28T00:00:00,77500,4,SENSEX 28FEB2025 PE 77500,1
2109,BSEFO,822354,2,SENSEX,SENSEX2511077300PE,IO,SENSEX-IO,12501000822354,1379.05,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-10T00:00:00,77300,4,SENSEX 10JAN2025 PE 77300,1
2110,BSEFO,824085,2,SENSEX,SENSEX2511776700PE,IO,SENSEX-IO,12501700824085,1236.25,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-17T00:00:00,76700,4,SENSEX 17JAN2025 PE 76700,1
2111,BSEFO,838074,2,SENSEX,SENSEX25MAR83800CE,IO,SENSEX-IO,12508700838074,2267.55,507.9,1000,0.05,10,1,-1,SENSEX,2025-03-28T00:00:00,83800,3,SENSEX 28MAR2025 CE 83800,1
2112,BSEFO,823534,2,BANKEX,BANKEX25FEB55400PE,IO,BANKEX-IO,12505500823534,790.95,182.6,900,0.05,30,1,-1,BANKEX,2025-02-24T00:00:00,55400,4,BANKEX 24FEB2025 PE 55400,1
2113,BSEFO,837001,2,SENSEX,SENSEX2512477100PE,IO,SENSEX-IO,12502400837001,1630.25,119.35,1000,0.05,20,1,-1,SENSEX,2025-01-24T00:00:00,77100,4,SENSEX 24JAN2025 PE 77100,1
2114,BSEFO,1148634,2,SENSEX50,SENSEX5024DEC25600PE,IO,SENSEX50-IO,12436101148634,1473.9,0.05,1800,0.05,25,1,-1,SNSX50,2024-12-26T00:00:00,25600,4,SENSEX50 26DEC2024 PE 25600,1
2115,BSEFO,1166453,2,SENSEX50,SENSEX5024DEC24350PE,IO,SENSEX50-IO,12436101166453,16.6,0.05,1800,0.05,25,1,-1,SNSX50,2024-12-26T00:00:00,24350,4,SENSEX50 26DEC2024 PE 24350,1
2116,BSEFO,867050,2,SENSEX,SENSEX27DEC85000PE,IO,SENSEX-IO,12736500867050,5788.9,4842.4,1000,0.05,10,1,-1,SENSEX,2027-12-31T00:00:00,85000,4,SENSEX 31DEC2027 PE 85000,1
2117,BSEFO,1174979,2,SENSEX,SENSEX2510374600CE,IO,SENSEX-IO,12500301174979,6658,1435,1000,0.05,10,1,-1,SENSEX,2025-01-03T00:00:00,74600,3,SENSEX 03JAN2025 CE 74600,1
2118,BSEFO,1147599,2,BANKEX,BANKEX24DEC61600CE,IO,BANKEX-IO,12436501147599,15.4,0.05,900,0.05,15,1,-1,BANKEX,2024-12-30T00:00:00,61600,3,BANKEX 30DEC2024 CE 61600,1
2119,BSEFO,1173284,2,SENSEX,SENSEX2510378400CE,IO,SENSEX-IO,12500301173284,2368.95,0.05,1000,0.05,10,1,-1,SENSEX,2025-01-03T00:00:00,78400,3,SENSEX 03JAN2025 CE 78400,1
2120,BSEFO,839405,2,SENSEX,SENSEX2520778900PE,IO,SENSEX-IO,12503800839405,3041.95,686.25,1000,0.05,20,1,-1,SENSEX,2025-02-07T00:00:00,78900,4,SENSEX 07FEB2025 PE 78900,1
2121,BSEFO,837433,2,SENSEX,SENSEX2512477200CE,IO,SENSEX-IO,12502400837433,4515.7,730.3,1000,0.05,20,1,-1,SENSEX,2025-01-24T00:00:00,77200,3,SENSEX 24JAN2025 CE 77200,1
2122,BSEFO,1138319,2,SENSEX,SENSEX24DEC85900CE,IO,SENSEX-IO,12436201138319,4.75,0.05,1000,0.05,10,1,-1,SENSEX,2024-12-27T00:00:00,85900,3,SENSEX 27DEC2024 CE 85900,1
2123,BSEFO,823974,2,SENSEX,SENSEX25FEB79100PE,IO,SENSEX-IO,12505900823974,3372.6,1083.3,1000,0.05,20,1,-1,SENSEX,2025-02-28T00:00:00,79100,4,SENSEX 28FEB2025 PE 79100,1
2124,BSEFO,866526,2,SENSEX,SENSEX25DEC85000PE,IO,SENSEX-IO,12536000866526,7280.5,5048.2,1000,0.05,10,1,-1,SENSEX,2025-12-26T00:00:00,85000,4,SENSEX 26DEC2025 PE 85000,1
2125,BSEFO,885004,2,SENSEX,SENSEX29JUN86000CE,IO,SENSEX-IO,12918000885004,22266.05,17520.7,1000,0.05,10,1,-1,SENSEX,2029-06-29T00:00:00,86000,3,SENSEX 29JUN2029 CE 86000,1
2126,BSEFO,1169651,2,SENSEX,SENSEX2510375300CE,IO,SENSEX-IO,12500301169651,5927.7,847.2,1000,0.05,10,1,-1,SENSEX,2025-01-03T00:00:00,75300,3,SENSEX 03JAN2025 CE 75300,1
2127,BSEFO,1166141,2,SENSEX50,SENSEX5025JAN26500PE,IO,SENSEX50-IO,12503001166141,2128.4,723.25,1800,0.05,25,1,-1,SNSX50,2025-01-30T00:00:00,26500,4,SENSEX50 30JAN2025 PE 26500,1
2128,BSEFO,1138896,2,SENSEX,SENSEX24DEC83500PE,IO,SENSEX-IO,12436201138896,7653.85,2307.75,1000,0.05,10,1,-1,SENSEX,2024-12-27T00:00:00,83500,4,SENSEX 27DEC2024 PE 83500,1
2129,BSEFO,823937,2,SENSEX50,SENSEX5025FEB26100PE,IO,SENSEX50-IO,12505800823937,1636.5,546.4,1800,0.05,60,1,-1,SNSX50,2025-02-27T00:00:00,26100,4,SENSEX50 27FEB2025 PE 26100,1
2130,BSEFO,825631,2,SENSEX,SENSEX2512479100CE,IO,SENSEX-IO,12502400825631,2931.65,184.1,1000,0.05,20,1,-1,SENSEX,2025-01-24T00:00:00,79100,3,SENSEX 24JAN2025 CE 79100,1
2131,BSEFO,1143021,2,SENSEX,SENSEX24DEC89000PE,IO,SENSEX-IO,12436201143021,13150.8,7804.6,1000,0.05,10,1,-1,SENSEX,2024-12-27T00:00:00,89000,4,SENSEX 27DEC2024 PE 89000,1
