CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKMPHASIS28-NOV-2024,2782.2000000,2825.2500000,2893.0000000,2818.9000000,2882.3000000,2882.3000000,3.5900000,14090.0000000,1611775.0000000,5861.0000000,4604949360.0000000
FUTSTKULTRACEMCO26-DEC-2024,11028.7500000,11030.5500000,11459.0000000,10989.0000000,11417.3500000,11417.3500000,3.5200000,7933.0000000,235050.0000000,4701.0000000,2657911825.0000000
FUTIDXBANKNIFTY27-NOV-2024,50407.4000000,50580.0000000,51280.0000000,50523.2000000,51082.3500000,51082.3500000,1.3300000,159249.0000000,2358990.0000000,157266.0000000,120234209159.2500000
FUTSTKFEDERALBNK26-DEC-2024,211.3200000,212.1000000,212.4500000,209.3000000,210.7900000,210.7900000,-0.2500000,3365.0000000,11580000.0000000,2316.0000000,2441325000.0000000
FUTSTKBHARATFORG26-DEC-2024,1303.4500000,1312.0000000,1335.7000000,1306.1500000,1324.8500000,1324.8500000,1.6400000,1979.0000000,666000.0000000,1332.0000000,880420600.0000000
FUTSTKMGL26-DEC-2024,1137.8000000,1159.5000000,1177.8000000,1129.1000000,1164.3500000,1164.3500000,2.3300000,1859.0000000,818800.0000000,2047.0000000,947176900.0000000
FUTSTKIDEA26-DEC-2024,6.9700000,6.9100000,6.9600000,6.6500000,6.7300000,6.7300000,-3.4400000,21838.0000000,339800000.0000000,8495.0000000,2307164400.0000000
FUTSTKTITAN26-DEC-2024,3192.7000000,3189.0000000,3329.1500000,3175.9500000,3321.7500000,3321.7500000,4.0400000,5873.0000000,782425.0000000,4471.0000000,2562074480.0000000
FUTSTKMETROPOLIS26-DEC-2024,2030.9000000,2019.4500000,2084.0500000,2015.8000000,2072.4000000,2072.4000000,2.0400000,210.0000000,116400.0000000,291.0000000,240207860.0000000
FUTSTKLTTS26-DEC-2024,5191.7000000,5204.8000000,5355.2500000,5200.6000000,5343.9500000,5343.9500000,2.9300000,1016.0000000,76700.0000000,767.0000000,406918110.0000000
FUTSTKINDUSTOWER26-DEC-2024,331.8000000,334.1000000,334.9000000,327.2500000,332.1500000,332.1500000,0.1000000,6629.0000000,7644900.0000000,4497.0000000,2535433125.0000000
FUTSTKPIDILITIND28-NOV-2024,2934.8000000,2932.9500000,2980.0000000,2923.0000000,2960.2500000,2960.2500000,0.8600000,8532.0000000,640750.0000000,2563.0000000,1893545387.5000000
FUTSTKTECHM26-DEC-2024,1709.3000000,1727.8000000,1761.1000000,1713.8000000,1758.0500000,1758.0500000,2.8500000,2201.0000000,1842000.0000000,3070.0000000,3213040440.0000000
FUTSTKIPCALAB28-NOV-2024,1573.2500000,1576.0000000,1598.5000000,1568.0000000,1594.0500000,1594.0500000,1.3200000,2910.0000000,713700.0000000,1098.0000000,1131328152.5000000
FUTSTKACC28-NOV-2024,2020.7000000,2001.0500000,2118.0000000,1992.6000000,2092.5000000,2092.5000000,3.5500000,14749.0000000,1900200.0000000,6334.0000000,3953654985.0000000
FUTSTKPETRONET26-DEC-2024,323.3500000,323.9500000,326.8500000,321.2000000,325.7000000,325.7000000,0.7200000,1305.0000000,1308000.0000000,872.0000000,424930950.0000000
FUTIDXMIDCPNIFTY25-NOV-2024,12163.4000000,12174.4500000,12342.7500000,12174.4500000,12317.3000000,12317.3000000,1.2600000,23415.0000000,1319300.0000000,26386.0000000,16176924877.5000000
FUTSTKONGC26-DEC-2024,243.9000000,246.3000000,248.8000000,245.3500000,247.0500000,247.0500000,1.2900000,7987.0000000,7975275.0000000,4143.0000000,1970120460.0000000
FUTSTKPOLYCAB26-DEC-2024,6446.3500000,6453.4000000,6688.8000000,6453.4000000,6661.7000000,6661.7000000,3.3400000,2359.0000000,309000.0000000,2472.0000000,2040581300.0000000
FUTSTKPVRINOX26-DEC-2024,1454.6500000,1457.9000000,1481.9500000,1444.8500000,1475.6500000,1475.6500000,1.4400000,1920.0000000,461538.0000000,1134.0000000,676435750.1000000
FUTSTKHEROMOTOCO28-NOV-2024,4755.5500000,4764.5000000,4808.0000000,4740.0500000,4791.3000000,4791.3000000,0.7500000,29622.0000000,914400.0000000,6096.0000000,4368661897.5000000
FUTIDXMIDCPNIFTY30-DEC-2024,12189.1000000,12245.2000000,12374.1000000,12210.1000000,12345.0500000,12345.0500000,1.2700000,24336.0000000,1137150.0000000,22743.0000000,13964873770.0000000
FUTSTKM&M26-DEC-2024,2955.1000000,2964.1500000,3084.0000000,2917.7000000,3032.5500000,3032.5500000,2.6200000,8587.0000000,1743525.0000000,9963.0000000,5215700035.0000000
FUTIDXNIFTYNXT5029-NOV-2024,67402.3500000,67614.6000000,68470.0000000,67200.0000000,68291.3000000,68291.3000000,1.3100000,1033.0000000,3870.0000000,387.0000000,263179398.0000000
FUTSTKCOROMANDEL28-NOV-2024,1769.9000000,1795.0000000,1815.6500000,1769.5500000,1807.2000000,1807.2000000,2.1000000,5855.0000000,966350.0000000,2761.0000000,1734041627.5000000
FUTSTKGUJGASLTD26-DEC-2024,452.4500000,456.7500000,465.1000000,454.5000000,463.5500000,463.5500000,2.4500000,1096.0000000,722500.0000000,578.0000000,332772875.0000000
FUTSTKJUBLFOOD26-DEC-2024,607.8500000,607.8500000,644.0000000,607.0000000,637.8500000,637.8500000,4.9300000,2186.0000000,3630000.0000000,2904.0000000,2287958312.5000000
FUTSTKFEDERALBNK28-NOV-2024,210.3400000,210.8900009,211.4300000,208.2000000,209.6600000,209.6600000,-0.3200000,11571.0000000,29580000.0000000,5916.0000000,6207730800.0000000
FUTSTKINDHOTEL28-NOV-2024,785.6000000,784.1500000,799.7000000,780.6000000,798.0000000,798.0000000,1.5700000,15766.0000000,7233000.0000000,7233.0000000,5721543500.0000000
FUTSTKRBLBANK26-DEC-2024,156.9600000,158.4600000,159.4400000,157.1800000,158.6500000,158.6500000,1.0700000,9253.0000000,12030000.0000000,4812.0000000,1906774950.0000000
FUTSTKAPOLLOHOSP26-DEC-2024,6775.0500000,6872.9500000,6976.7000000,6786.7000000,6960.1000000,6960.1000000,2.7300000,1244.0000000,166125.0000000,1329.0000000,1148182493.7500000
FUTSTKDABUR26-DEC-2024,508.4000000,509.7000000,517.3000000,507.7000000,516.2500000,516.2500000,1.5400000,1886.0000000,1562500.0000000,1250.0000000,802903250.0000000
FUTSTKBHARTIARTL28-NOV-2024,1523.7500000,1535.0000000,1573.7000000,1521.2500000,1570.1500000,1570.1500000,3.0400000,98919.0000000,11653175.0000000,24533.0000000,18113433946.2500000
FUTSTKSYNGENE28-NOV-2024,848.3000000,846.1000000,871.8000000,846.1000000,870.2500000,870.2500000,2.5800000,6351.0000000,983000.0000000,983.0000000,847683000.0000000
